검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
29,41.4%,관찰,SOXL,raor4_step24w,20,12.0,10.0,3706539440,3606.54,25.1,-62.83,81.27,1089,145,2.5,4.1,3.35,54.4,보통,22.79,73.28
8,11.4%,관찰,SOXL,raor4_step24w,20,10.5,10.0,3695357539,3595.36,25.07,-62.83,81.25,1088,145,2.5,4.1,3.35,54.4,보통,22.79,73.21
15,21.4%,관찰,SOXL,raor4_step24w,20,11.0,10.0,3695357539,3595.36,25.07,-62.83,81.25,1088,145,2.5,4.1,3.35,54.4,보통,22.79,73.21
22,31.4%,관찰,SOXL,raor4_step24w,20,11.5,10.0,3695357539,3595.36,25.07,-62.83,81.25,1088,145,2.5,4.1,3.35,54.4,보통,22.79,73.21
1,1.4%,관찰,SOXL,raor4_step24w,20,10.0,10.0,3684946352,3584.95,25.05,-62.83,81.25,1088,145,2.5,4.1,3.35,54.4,보통,22.79,73.15
3,4.3%,관찰,SOXL,raor4_step24w,20,10.0,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
10,14.3%,관찰,SOXL,raor4_step24w,20,10.5,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
17,24.3%,관찰,SOXL,raor4_step24w,20,11.0,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
24,34.3%,관찰,SOXL,raor4_step24w,20,11.5,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
31,44.3%,관찰,SOXL,raor4_step24w,20,12.0,15.0,7464795098,7364.8,30.64,-69.13,78.46,1003,107,2.5,2.9,3.87,41.8,높음,29.1,68.76
30,42.9%,관찰,SOXL,raor4_step24w,20,12.0,12.5,5135896572,5035.9,27.65,-69.13,76.96,981,124,2.5,2.8,3.21,41.8,높음,29.1,59.48
2,2.9%,관찰,SOXL,raor4_step24w,20,10.0,12.5,5121609154,5021.61,27.63,-69.13,76.96,981,124,2.5,2.8,3.2,41.8,높음,29.1,59.42
9,12.9%,관찰,SOXL,raor4_step24w,20,10.5,12.5,5121609154,5021.61,27.63,-69.13,76.96,981,124,2.5,2.8,3.2,41.8,높음,29.1,59.42
16,22.9%,관찰,SOXL,raor4_step24w,20,11.0,12.5,5121609154,5021.61,27.63,-69.13,76.96,981,124,2.5,2.8,3.2,41.8,높음,29.1,59.42
23,32.9%,관찰,SOXL,raor4_step24w,20,11.5,12.5,5121609154,5021.61,27.63,-69.13,76.96,981,124,2.5,2.8,3.2,41.8,높음,29.1,59.42
