검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
81,52.6%,관찰,SOXL,raor4_step24q,40,10.0,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
88,57.1%,관찰,SOXL,raor4_step24q,40,10.5,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
95,61.7%,관찰,SOXL,raor4_step24q,40,11.0,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
102,66.2%,관찰,SOXL,raor4_step24q,40,11.5,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
109,70.8%,관찰,SOXL,raor4_step24q,40,12.0,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
116,75.3%,관찰,SOXL,raor4_step24q,40,12.5,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
123,79.9%,관찰,SOXL,raor4_step24q,40,13.0,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
130,84.4%,관찰,SOXL,raor4_step24q,40,13.5,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
137,89.0%,관찰,SOXL,raor4_step24q,40,14.0,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
144,93.5%,관찰,SOXL,raor4_step24q,40,14.5,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
151,98.1%,관찰,SOXL,raor4_step24q,40,15.0,17.5,6913085682,6813.09,30.02,-50.22,86.08,668,95,2.5,2.8,5.67,86.4,낮음,6.8,115.82
83,53.9%,관찰,SOXL,raor4_step24q,40,10.0,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
90,58.4%,관찰,SOXL,raor4_step24q,40,10.5,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
97,63.0%,관찰,SOXL,raor4_step24q,40,11.0,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
104,67.5%,관찰,SOXL,raor4_step24q,40,11.5,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
111,72.1%,관찰,SOXL,raor4_step24q,40,12.0,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
118,76.6%,관찰,SOXL,raor4_step24q,40,12.5,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
125,81.2%,관찰,SOXL,raor4_step24q,40,13.0,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
132,85.7%,관찰,SOXL,raor4_step24q,40,13.5,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
139,90.3%,관찰,SOXL,raor4_step24q,40,14.0,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
146,94.8%,관찰,SOXL,raor4_step24q,40,14.5,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
153,99.4%,관찰,SOXL,raor4_step24q,40,15.0,22.5,5943894066,5843.89,28.81,-48.38,88.31,787,65,3.12,3.3,5.65,89.7,낮음,5.14,113.38
80,51.9%,관찰,SOXL,raor4_step24q,40,10.0,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
87,56.5%,관찰,SOXL,raor4_step24q,40,10.5,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
94,61.0%,관찰,SOXL,raor4_step24q,40,11.0,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
101,65.6%,관찰,SOXL,raor4_step24q,40,11.5,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
108,70.1%,관찰,SOXL,raor4_step24q,40,12.0,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
115,74.7%,관찰,SOXL,raor4_step24q,40,12.5,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
122,79.2%,관찰,SOXL,raor4_step24q,40,13.0,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
129,83.8%,관찰,SOXL,raor4_step24q,40,13.5,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
136,88.3%,관찰,SOXL,raor4_step24q,40,14.0,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
143,92.9%,관찰,SOXL,raor4_step24q,40,14.5,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
150,97.4%,관찰,SOXL,raor4_step24q,40,15.0,15.0,5086163634,4986.16,27.57,-51.8,85.22,636,102,2.5,2.6,6.12,85.8,낮음,7.12,110.0
14,9.1%,관찰,SOXL,raor4_step24q,20,10.5,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
21,13.6%,관찰,SOXL,raor4_step24q,20,11.0,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
28,18.2%,관찰,SOXL,raor4_step24q,20,11.5,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
35,22.7%,관찰,SOXL,raor4_step24q,20,12.0,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
42,27.3%,관찰,SOXL,raor4_step24q,20,12.5,25.0,15380662736,15280.66,36.63,-55.22,83.94,1158,58,3.12,3.6,4.78,68.5,보통,15.74,109.57
