Date,Close,Action,CurrentSplit,BuyAmount,SellAmount,Shares,AvgPrice,Cash,StockValue,TotalAsset,Peak,Drawdown
2022-03-14,309.8579406738281,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,80672157.04298669,297877228.06355095,319417832.3568487,-0.06743707492583863
2022-03-15,319.5771484375,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,83202572.92756686,300407643.9481311,319417832.3568487,-0.05951511306820134
2022-03-16,331.4292297363281,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,86288286.85746025,303493357.8780245,319417832.3568487,-0.049854682067448315
2022-03-17,335.4415283203125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,87332897.10939263,304537968.1299569,319417832.3568487,-0.046584325355599615
2022-03-18,342.30743408203125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,89120449.90422247,306325520.92478675,319417832.3568487,-0.04098804169904779
2022-03-21,341.35577392578125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,88872683.21020263,306077754.2307669,319417832.3568487,-0.04176372379604183
2022-03-22,348.0643005371094,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,90619262.01705594,307824333.0376202,319417832.3568487,-0.0362957172230649
2022-03-23,343.0621337890625,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,89316937.53708263,306522008.5576469,319417832.3568487,-0.040372898732826006
2022-03-24,350.68719482421875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,91302137.98072077,308507209.001285,319417832.3568487,-0.03415784045323593
2022-03-25,350.39471435546875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,91225990.0845084,308431061.1050727,319417832.3568487,-0.034396236336303815
2022-03-28,355.8161926269531,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,92637483.18864259,309842554.2092068,319417832.3568487,-0.029977281096017654
2022-03-29,361.939697265625,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,94231750.31244175,311436821.333006,319417832.3568487,-0.02498611603789994
2022-03-30,357.94189453125,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,93190914.08499818,310395985.10556245,319417832.3568487,-0.028244657427914665
2022-03-31,353.5052185058594,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,92035816.2866625,309240887.3072268,319417832.3568487,-0.03186091701434005
2022-04-01,352.8324584960937,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,91860661.82380757,309065732.8443718,319417832.3568487,-0.03240927231924771
2022-04-04,360.09674072265625,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,93751932.75690497,310957003.7774692,319417832.3568487,-0.02648827874433507
2022-04-05,352.10107421875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,91670244.41138841,308875315.43195266,319417832.3568487,-0.03300541127308798
2022-04-06,344.4565124511719,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,89679966.91164847,306885037.9322127,319417832.3568487,-0.039236364269840014
2022-04-07,345.2756042480469,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,89893219.15855369,307098290.1791179,319417832.3568487,-0.038568736400313414
2022-04-08,340.44891357421875,관망,40,0.0,0.0,260352.07252573274,384.09527156775823,217205071.02056426,88636580.23818192,305841651.25874615,319417832.3568487,-0.04250289032997841
