Date,Close,WeeklyRSI,WeeklyMode,PrevSplit,Action,BuySplitsToday,CurrentSplit,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
2008-03-20,37.08992385864258,18.45654610529229,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,86506962.20960411,108999456.93163097
2008-03-24,38.37245559692383,24.708169806035727,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,89498284.7326419,111990779.45466876
2008-03-25,38.58764266967773,24.708169806035727,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,90000177.91639885,112492672.63842571
2008-03-26,38.47573471069336,24.708169806035727,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,89739168.54857942,112231663.27060628
2008-03-27,37.62359237670898,24.708169806035727,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,87751667.98200673,110244162.70403358
2008-03-28,37.43423461914063,22.011388481030977,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,87310017.99532865,109802512.7173555
2008-03-31,37.63218688964844,22.011388481030977,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,87771713.45874853,110264208.18077539
2008-04-01,39.241817474365234,22.011388481030977,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,91525947.4306005,114018442.15262735
2008-04-02,39.155738830566406,22.011388481030977,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,91325181.25985992,113817675.98188677
2008-04-03,39.241817474365234,22.011388481030977,침체,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,91525947.4306005,114018442.15262735
2008-04-04,39.474220275878906,32.794384329833804,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,92067993.84850559,114560488.57053244
2008-04-07,39.38813400268555,32.794384329833804,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,91867209.88328943,114359704.60531628
2008-04-08,39.08686828613281,32.794384329833804,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,91164550.52879189,113657045.25081874
2008-04-09,38.64788436889648,32.794384329833804,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,90140683.09558499,112633177.81761184
2008-04-10,39.19876480102539,32.794384329833804,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,91425533.20489794,113918027.9269248
2008-04-11,38.114219665527344,36.715904410398885,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,88895986.22042017,111388480.94244702
2008-04-14,37.94208908081055,36.715904410398885,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,88494516.15960355,110987010.8816304
2008-04-15,37.99372100830078,36.715904410398885,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,88614940.27309674,111107434.9951236
2008-04-16,39.05245971679688,36.715904410398885,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,91084297.44392242,113576792.16594927
2008-04-17,38.96636962890625,36.715904410398885,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,90883504.58146845,113375999.3034953
2008-04-18,40.20586395263672,49.07801938277367,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,93774448.46775484,116266943.1897817
2008-04-21,40.48992919921875,49.07801938277367,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,94436990.17705542,116929484.89908227
2008-04-22,39.88738250732422,49.07801938277367,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,93031635.87910919,115524130.60113604
2008-04-23,40.326358795166016,49.07801938277367,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,94055485.51784049,116547980.23986734
2008-04-24,40.68787384033203,49.07801938277367,중립,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,94898667.84599975,117391162.5680266
2008-04-25,40.58460235595703,56.04260859770627,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,94657801.8245378,117150296.54656465
2008-04-28,40.66204833984375,56.04260859770627,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,94838433.54615867,117330928.26818553
2008-04-29,40.971923828125,56.04260859770627,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,95561173.96634917,118053668.68837602
2008-04-30,40.6362190246582,56.04260859770627,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,94778190.34907982,117270685.07110667
2008-05-01,41.91876602172852,56.04260859770627,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,97769548.46106878,120262043.18309563
2008-05-02,41.9790153503418,65.58201420212248,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,97910071.43473047,120402566.15675732
2008-05-05,41.8585205078125,65.58201420212248,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,97629034.38464484,120121529.10667169
2008-05-06,42.116729736328125,65.58201420212248,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,98231270.61620203,120723765.33822888
2008-05-07,41.35066986083984,65.58201420212248,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,96444545.11760768,118937039.83963454
2008-05-08,41.66053009033203,65.58201420212248,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,97167249.94884703,119659744.67087388
2008-05-09,41.49699401855469,59.21460306954549,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,96785825.3647722,119278320.08679906
2008-05-12,42.25445175170898,59.21460306954549,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,98552487.59214914,121044982.314176
2008-05-13,42.36635971069336,59.21460306954549,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,98813496.9599686,121305991.68199545
2008-05-14,42.27167892456055,59.21460306954549,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,98592667.51801065,121085162.2400375
2008-05-15,43.01191711425781,59.21460306954549,상승,7,관망,0,7,0.0,0.0,2332357.503328941,22492494.722026855,100319167.61400169,122811662.33602855
2008-05-16,43.04635620117188,72.65638195696604,과열,7,전량매도,0,0,0.0,100399491.87677352,0.0,122891986.59880038,0.0,122891986.59880038
2008-05-19,42.73648834228516,72.65638195696604,과열,0,관망,0,0,0.0,0.0,0.0,122891986.59880038,0.0,122891986.59880038
2008-05-20,42.40938568115234,72.65638195696604,과열,0,관망,0,0,0.0,0.0,0.0,122891986.59880038,0.0,122891986.59880038
2008-05-21,41.47117614746094,72.65638195696604,과열,0,관망,0,0,0.0,0.0,0.0,122891986.59880038,0.0,122891986.59880038
2008-05-22,41.61748504638672,72.65638195696604,과열,0,관망,0,0,0.0,0.0,0.0,122891986.59880038,0.0,122891986.59880038
2008-05-23,41.4883918762207,63.95897882063547,상승,0,1분할 매수,1,1,14285714.285714285,0.0,344330.39314551547,108606272.31308609,14285714.285714285,122891986.59880038
2008-05-27,42.22003555297852,63.95897882063547,상승,1,1분할 매수,1,2,14285714.285714285,0.0,682693.7814896179,94320558.02737181,28823355.72628902,123143913.75366083
2008-05-28,42.39217376708984,63.95897882063547,상승,2,1분할 매수,1,3,14285714.285714285,0.0,1019683.2070426114,80034843.74165753,43226587.700333826,123261431.44199136
2008-05-29,42.77090835571289,63.95897882063547,상승,3,1분할 매수,1,4,14285714.285714285,0.0,1353688.6054527704,65749129.45594324,57898491.285993226,123647620.74193648
2008-05-30,43.04635620117188,68.20237465981677,상승,4,1분할 매수,1,5,14285714.285714285,0.0,1685556.7482277765,51463415.17022896,72557076.18150187,124020491.35173082
2008-06-02,42.52129364013672,68.20237465981677,상승,5,1분할 매수,1,6,14285714.285714285,0.0,2021522.8739674154,37177700.884514675,85957767.72422156,123135468.60873623
2008-06-03,42.28889846801758,68.20237465981677,상승,6,1분할 매수,1,7,14285714.285714285,0.0,2359335.2739881524,22891986.59880039,99773689.8536974,122665676.4524978
2008-06-04,42.83116149902344,68.20237465981677,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,101053070.15052927,123945056.74932966
2008-06-05,43.51116180419922,68.20237465981677,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,102657418.8568532,125549405.4556536
2008-06-06,42.20281219482422,67.23861714166887,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,99570583.47274613,122462570.07154652
2008-06-09,41.9790153503418,67.23861714166887,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,99042571.68335152,121934558.28215191
2008-06-10,41.78105926513672,67.23861714166887,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,98575526.90882657,121467513.50762697
2008-06-11,40.77397537231445,67.23861714166887,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,96199478.35662569,119091464.95542608
2008-06-12,40.81698226928711,67.23861714166887,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,96300946.04567806,119192932.64447846
2008-06-13,41.634708404541016,68.08047214970637,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,98230236.16104461,121122222.759845
2008-06-16,42.004844665527344,68.08047214970637,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,99103511.69777174,121995498.29657213
2008-06-17,41.78105926513672,68.08047214970637,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,98575526.90882657,121467513.50762697
2008-06-18,41.33344268798828,68.08047214970637,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,97519449.32913843,120411435.92793882
2008-06-19,41.9790153503418,68.08047214970637,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,99042571.68335152,121934558.28215191
2008-06-20,40.845462799072266,64.34542155461892,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,96368141.16422205,119260127.76302244
2008-06-23,40.52677154541016,64.34542155461892,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,95616241.64794555,118508228.24674594
2008-06-24,40.32004928588867,64.34542155461892,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,95128514.52913795,118020501.12793835
2008-06-25,40.97468185424805,64.34542155461892,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,96673012.23916969,119564998.83797008
2008-06-26,39.32087707519531,64.34542155461892,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92771132.28766039,115663118.88646078
2008-06-27,39.32087707519531,56.76789503005003,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,92771132.28766039,115663118.88646078
2008-06-30,38.90742111206055,56.76789503005003,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,91795651.04959579,114687637.64839618
2008-07-01,39.45870971679688,56.76789503005003,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,93096325.70089795,115988312.29969834
2008-07-02,38.511192321777344,56.76789503005003,상승,7,관망,0,7,0.0,0.0,2359335.2739881524,22891986.59880039,90860814.48811097,113752801.08691137
