Date,Close,RSI,Mode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
2020-08-28,283.00885009765625,83.33878809809671,과열,관망,0,0.0,0.0,136157499.85044247,0.0,136157499.85044247
2020-09-04,274.3500671386719,75.27611546679726,과열,관망,0,0.0,0.0,136157499.85044247,0.0,136157499.85044247
2020-09-11,261.6474609375,64.57439110513516,상승,매수,1000000,0.0,3821.936572275284,135157499.85044247,1000000.0,136157499.85044247
2020-09-18,258.1839904785156,64.70953062752594,상승,매수,1000000,0.0,7695.143420409477,134157499.85044247,1986762.8355858126,136144262.68602827
2020-09-25,262.7214050292969,63.45801707181043,상승,매수,1000000,0.0,11501.456803548117,133157499.85044247,3021678.8913119272,136179178.74175438
2020-10-02,265.3818359375,66.67315674258462,상승,매수,1000000,0.0,15269.612210519941,132157499.85044247,4052277.7224814496,136209777.57292393
2020-10-09,276.4107666015625,66.48627859105233,상승,매수,1000000,0.0,18887.41629353335,131157499.85044247,5220685.216818396,136378185.06726086
2020-10-16,279.1197204589844,63.23907958110305,상승,매수,1000000,0.0,22470.108331041847,130157499.85044247,6271850.356043496,136429350.20648596
2020-10-23,275.4724426269531,63.77582726804824,상승,매수,1000000,0.0,26100.23550624611,129157499.85044247,7189895.628044346,136347395.4784868
2020-10-30,260.6122436523437,56.68272706070379,상승,매수,1000000,0.0,29937.353770474703,128157499.85044247,7802040.935137363,135959540.78557983
2020-11-06,285.0211181640625,62.17057097124148,상승,매수,1000000,0.0,33445.86572369911,127157499.85044247,9532778.046533812,136690277.8969763
2020-11-13,281.4609680175781,58.359121087223805,상승,매수,1000000,0.0,36998.75622586475,126157499.85044247,10413705.742778288,136571205.59322077
2020-11-20,280.9288024902344,57.83584367464804,상승,매수,1000000,0.0,40558.376995026585,125157499.85044247,11394016.28016029,136551516.13060275
2020-11-27,289.2779846191406,57.44054041915019,상승,매수,1000000,0.0,44015.25948581338,124157499.85044247,12732645.556544608,136890145.40698707
2020-12-04,295.5760498046875,55.84975271490846,상승,매수,1000000,0.0,47398.483534787534,123157499.85044247,14009856.529945021,137167356.38038749
