Date,Close,MA5,MA20,Action,CurrentSplit,BuyAmount,SellAmount,Shares,AvgPrice,Cash,StockValue,TotalAsset,Peak,Drawdown
2021-09-29,349.4476013183594,357.1138854980469,363.5448593139648,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,97887435.45270559,327785905.39480805,333890733.58518416,-0.018283910202672945
2021-09-30,348.1637268066406,354.1920959472656,362.4653091430664,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,97527795.8875144,327426265.82961684,333890733.58518416,-0.019361027741484356
2021-10-01,350.3229675292969,351.6340759277344,361.50246276855466,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,98132643.47000876,328031113.41211116,333890733.58518416,-0.017549514208300282
2021-10-04,342.9698486328125,348.18511352539065,360.1151290893555,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,96072884.15662335,325971354.0987258,333890733.58518416,-0.02371847640520974
2021-10-05,347.5995178222656,347.700732421875,358.9330459594727,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,97369749.38689032,327268219.3289927,333890733.58518416,-0.019834375710525244
2021-10-06,349.826904296875,347.77659301757814,357.9269393920898,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,97993685.99123095,327892155.9333334,333890733.58518416,-0.017965690713966365
2021-10-07,353.0365295410156,348.75115356445315,357.1449508666992,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,98892767.8070107,328791237.74911314,333890733.58518416,-0.015272948072906016
2021-10-08,351.276123046875,348.94178466796876,356.41484375,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,98399641.8664817,328298111.80858415,333890733.58518416,-0.016749856207594276
2021-10-11,348.5820007324219,350.0642150878906,355.5626647949219,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,97644962.98712245,327543432.92922485,333890733.58518416,-0.01901011324215126
2021-10-12,347.3661804199219,350.0175476074219,354.70166931152346,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,97304386.79798011,327202856.74008256,333890733.58518416,-0.020030136126540164
2021-10-13,350.1478881835937,350.08174438476556,353.84422912597654,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,98083600.15682828,327982070.0989307,333890733.58518416,-0.017696398527771624
2021-10-14,356.5965270996094,350.7937438964844,353.2965911865234,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,99889996.08934525,329788466.03144765,333890733.58518416,-0.01228625757201469
2021-10-15,358.8432006835937,352.3071594238281,353.0789154052734,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,100519335.4083329,330417805.3504353,333890733.58518416,-0.010401391489538917
2021-10-18,362.4516906738281,355.0810974121094,353.4169067382812,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,101530147.41467717,331428617.3567796,333890733.58518416,-0.0073740178469985365
2021-10-19,365.1944885253906,358.6467590332031,353.87015075683587,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,102298461.30964091,332196931.2517433,333890733.58518416,-0.0050729240528884206
2021-10-20,364.7178955078125,361.5607604980469,354.13324584960935,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,102164957.83710487,332063427.7792073,333890733.58518416,-0.005472765854733356
2021-10-21,366.9451904296875,363.6304931640625,354.3418716430664,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,102788868.79564813,332687338.73775053,333890733.58518416,-0.0036041576671267802
2021-10-22,363.8620910644531,364.6342712402344,354.37932281494136,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,101925229.47184087,331823699.4139433,333890733.58518416,-0.0061907503363327464
2021-10-25,367.5871276855469,365.66135864257814,354.74794616699216,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,102968688.57824373,332867158.52034616,333890733.58518416,-0.0030655988977209866
2021-10-26,368.74456787109375,366.3713745117187,355.68410339355466,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,103292911.29725981,333191381.23936224,333890733.58518416,-0.002094554521811832
2021-10-27,369.6005859375,367.34791259765626,356.6917526245117,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,103532699.5027177,333431169.44482017,333890733.58518416,-0.0013763908193239647
2021-10-28,373.7050476074219,368.69988403320315,357.9688186645508,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,104682443.34204242,334580913.2841449,334580913.2841449,0.0
2021-10-29,375.5433044433594,371.0361267089844,359.2298355102539,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,105197376.75893942,335095846.7010418,335095846.7010418,0.0
2021-11-01,376.8271789550781,372.88413696289064,360.9227020263672,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,105557016.32413062,335455486.2662331,335455486.2662331,0.0
2021-11-02,378.4028625488281,374.8157958984375,362.46286926269534,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,105998397.59415562,335896867.53625804,335896867.53625804,0.0
2021-11-03,382.4197998046875,377.379638671875,364.09251403808594,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,107123624.05118968,337022093.9932921,337022093.9932921,0.0
2021-11-04,387.3218994140625,380.10300903320314,365.8067825317383,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,108496802.62584603,338395272.56794846,338395272.56794846,0.0
2021-11-05,387.6914367675781,382.5326354980469,367.62754821777344,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,108600317.61265136,338498787.5547538,338498787.5547538,0.0
2021-11-08,387.1662902832031,384.6004577636719,369.5567626953125,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,108453213.31890737,338351683.2610098,338498787.5547538,-0.00043457849526321626
2021-11-09,384.501220703125,385.82012939453125,371.4135147094727,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,107706672.70591515,337605142.6480176,338498787.5547538,-0.0026400239516120682
2021-11-10,378.8502502441406,385.10621948242186,372.8486328125,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,106123720.05732898,336022189.99943143,338498787.5547538,-0.007316414848079028
2021-11-11,379.9006958007813,383.6219787597656,374.0138412475586,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,106417971.38781263,336316441.32991505,338498787.5547538,-0.006447131585325778
2021-11-12,383.8982238769531,382.86333618164065,375.26659240722654,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,107537760.93580313,337436230.87790555,338498787.5547538,-0.003139026536915909
2021-11-15,383.8107299804688,382.1922241210938,376.3345443725586,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,107513252.1021116,337411722.044214,338498787.5547538,-0.0032114310316811168
2021-11-16,386.5437927246094,382.6007385253906,377.40200958251955,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,108278838.99395442,338177308.93605685,338498787.5547538,-0.0009497186711338732
2021-11-17,386.7480773925781,384.1803039550781,378.50351867675784,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,108336063.31649756,338234533.2586,338498787.5547538,-0.0007806654140852408
2021-11-18,390.7553405761719,386.3512329101562,379.694026184082,관망,40,0.0,0.0,280120.49612990936,356.98922921235925,229898469.94210243,109458579.86760896,339357049.8097114,339357049.8097114,0.0
2021-11-19,392.9339904785156,388.15838623046875,381.14762115478516,목표수익 전량매도,0,0.0,110068864.35914688,0.0,356.98922921235925,339967334.3012493,0.0,339967334.3012493,339967334.3012493,0.0
2021-11-22,388.372314453125,389.070703125,382.18688049316404,2분할 매수,2,5000000.0,0.0,12874.244156771581,0.0,334967334.3012493,5000000.0,339967334.3012493,339967334.3012493,0.0
2021-11-23,386.6022033691406,389.08238525390624,383.0797622680664,2분할 매수,4,5000000.0,0.0,25807.434801900505,388.372314453125,329967334.3012493,9977211.157720177,339944545.4589695,339967334.3012493,-6.703244688696461e-05
2021-11-24,387.84710693359375,389.30219116210935,383.9920883178711,2분할 매수,6,5000000.0,0.0,38699.112761112636,387.48523736514807,324967334.3012493,15009338.925294455,339976673.2265438,339976673.2265438,0.0
2021-11-26,380.4940185546875,387.2499267578125,384.3315368652344,3분할 매수,9,7500000.0,0.0,58410.329322384394,387.6057855019603,317467334.3012493,22224780.928976733,339692115.23022604,339976673.2265438,-0.0008369927078147764
2021-11-29,388.7516479492188,386.41345825195316,384.9919540405274,1분할 매수,10,2500000.0,0.0,64841.17022862427,385.2058404912537,314967334.3012493,25207111.78133351,340174446.08258283,340174446.08258283,0.0
2021-11-30,383.0423583984375,385.34746704101565,385.30271301269534,3분할 매수,13,7500000.0,0.0,84421.25017424366,385.55750785885255,307467334.3012493,32336914.765686795,339804249.06693614,340174446.08258283,-0.0010882563928885616
2021-12-01,376.525634765625,383.3321533203125,385.2088516235352,3분할 매수,16,7500000.0,0.0,104340.21267640771,384.97416151645103,299967334.3012493,39286764.809564725,339254099.11081403,340174446.08258283,-0.0027055147215419213
2021-12-02,379.2392883300781,381.6105895996094,385.0498260498047,3분할 매수,19,7500000.0,0.0,124116.6446832947,383.3613040837166,292467334.3012493,47069907.99960986,339537242.3008592,340174446.08258283,-0.0018731676910526283
