Date,Close,WeeklyRSI,WeeklyMode,Action,BuyAmount,SellAmount,Shares,Cash,StockValue,TotalAsset
2001-12-06,36.19720077514648,50.66361566659441,상승,매수,200000,0.0,1314767.9431401407,53127506.85988073,47590919.210570045,100718426.07045078
2001-12-07,35.20181655883789,59.89142837596883,상승,매수,200000,0.0,1320449.46811672,52927506.85988073,46482219.95185984,99409726.81174058
2001-12-10,34.58601760864258,59.89142837596883,상승,매수,200000,0.0,1326232.1518088148,52727506.85988073,45869088.55560761,98596595.41548833
2001-12-11,34.7800407409668,59.89142837596883,상승,매수,200000,0.0,1331982.5763551674,52527506.85988073,46326408.27189064,98853915.13177137
2001-12-12,35.05840301513672,59.89142837596883,상승,매수,200000,0.0,1337687.3427677632,52327506.85988073,46897181.970999576,99224688.83088031
2001-12-13,33.53999328613281,59.89142837596883,상승,매수,200000,0.0,1343650.3731802555,52127506.85988073,45066024.49537562,97193531.35525635
2001-12-14,33.83523178100586,63.0976532960376,상승,매수,200000,0.0,1349561.3715530308,51927506.85988073,45662721.80918896,97590228.66906969
2001-12-17,34.41729736328125,63.0976532960376,상승,매수,200000,0.0,1355372.4030785153,51727506.85988073,46648255.034738354,98375761.89461908
2001-12-18,34.80534362792969,63.0976532960376,상승,매수,200000,0.0,1361118.6471649983,51527506.85988073,47374202.23296055,98901709.09284128
2001-12-19,34.17266082763672,63.0976532960376,상승,매수,200000,0.0,1366971.2789225539,51327506.85988073,46713045.87574122,98040552.73562196
2001-12-20,32.72173309326172,63.0976532960376,상승,매수,200000,0.0,1373083.4246157533,51127506.85988073,44929669.33505843,96057176.19493917
2001-12-21,33.30379104614258,60.89069330684255,상승,매수,200000,0.0,1379088.7469444606,50927506.85988073,45928883.46232491,96856390.32220563
2001-12-24,33.168827056884766,60.89069330684255,상승,매수,200000,0.0,1385118.5049355105,50727506.85988073,45942756.14349674,96670263.00337747
2001-12-26,33.48094177246094,60.89069330684255,상승,매수,200000,0.0,1391092.0525543084,50527506.85988073,46575072.01170397,97102578.8715847
2001-12-27,33.750885009765625,60.89069330684255,상승,매수,200000,0.0,1397017.8230916478,50327506.85988073,47150587.9037593,97478094.76364003
2001-12-28,34.02082443237305,80.90633019930989,과열,전량매도,0,47527698.08829694,0.0,97855204.94817767,0.0,97855204.94817767
2001-12-31,32.82295227050781,80.90633019930989,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-02,33.83523178100586,80.90633019930989,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-03,35.00778579711914,80.90633019930989,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-04,35.15119171142578,81.42644570845715,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-07,34.76317596435547,81.42644570845715,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-08,34.99937057495117,81.42644570845715,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-09,34.67879104614258,81.42644570845715,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-10,34.90658187866211,81.42644570845715,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-11,34.4594612121582,74.93138354998672,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-14,33.70868682861328,74.93138354998672,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-15,34.02924728393555,74.93138354998672,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-16,32.71331024169922,74.93138354998672,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-17,33.44719314575195,74.93138354998672,과열,관망,0,0.0,0.0,97855204.94817767,0.0,97855204.94817767
2002-01-18,32.55302810668945,61.41243718029671,상승,매수,200000,0.0,6143.8216851753095,97655204.94817767,200000.0,97855204.94817767
2002-01-22,31.549177169799805,61.41243718029671,상승,매수,200000,0.0,12483.131231144971,97455204.94817767,393832.51884525386,97849037.46702293
2002-01-23,32.418060302734375,61.41243718029671,상승,매수,200000,0.0,18652.531810091103,97255204.94817767,604678.9010182045,97859883.84919587
2002-01-24,32.84827423095703,61.41243718029671,상승,매수,200000,0.0,24741.13173451316,97055204.94817767,812703.4799995219,97867908.4281772
2002-01-25,32.755470275878906,65.5844397659857,상승,매수,200000,0.0,30846.982095247557,96855204.94817767,1010407.4051214502,97865612.35329911
2002-01-28,32.94104766845703,65.5844397659857,상승,매수,200000,0.0,36918.43440644747,96655204.94817767,1216131.9076275902,97871336.85580526
2002-01-29,32.0384521484375,65.5844397659857,상승,매수,200000,0.0,43160.9332348359,96455204.94817767,1382809.4941261958,97838014.44230387
2002-01-30,32.28310012817383,65.5844397659857,상승,매수,200000,0.0,49356.125121796525,96255204.94817767,1593368.729245633,97848573.6774233
2002-01-31,32.48555374145508,65.5844397659857,상승,매수,200000,0.0,55512.707878296635,96055204.94817767,1803361.055114102,97858566.00329177
2002-02-01,32.17341613769531,57.0204410331424,상승,매수,200000,0.0,61729.02010153221,95855204.94817767,1986033.4514987548,97841238.39967643
2002-02-04,31.144285202026367,57.0204410331424,상승,매수,200000,0.0,68150.74398129513,95655204.94817767,2122506.2072837376,97777711.1554614
2002-02-05,30.629701614379883,57.0204410331424,상승,매수,200000,0.0,74680.3537867692,95455204.94817767,2287436.9529450657,97742641.90112273
2002-02-06,30.418811798095703,57.0204410331424,상승,매수,200000,0.0,81255.23256005911,95255204.94817767,2471687.626854936,97726892.5750326
2002-02-07,29.6849308013916,57.0204410331424,상승,매수,200000,0.0,87992.65773170965,95055204.94817767,2612055.9557963368,97667260.903974
2002-02-08,30.5115966796875,51.70348037462701,상승,매수,200000,0.0,94547.5424891221,94855204.94817767,2884796.483483711,97740001.43166138
2002-02-11,30.899639129638672,51.70348037462701,상승,매수,200000,0.0,101020.10998937364,94655204.94817767,3121484.9435080523,97776689.89168572
2002-02-12,30.646560668945312,51.70348037462701,상승,매수,200000,0.0,107546.12777520184,94455204.94817767,3295918.9295728677,97751123.87775053
2002-02-13,31.1695613861084,51.70348037462701,상승,매수,200000,0.0,113962.64411697928,94255204.94817767,3552165.631527411,97807370.57970507
2002-02-14,31.11052703857422,51.70348037462701,상승,매수,200000,0.0,120391.33623627441,94055204.94817767,3745437.921188695,97800642.86936636
2002-02-15,30.182632446289062,43.49571293182732,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3633727.451337072,97688932.39951473
2002-02-19,29.25469207763672,43.49571293182732,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3522011.470407435,97577216.4185851
2002-02-20,29.65115737915039,43.49571293182732,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3569742.457827984,97624947.40600565
2002-02-21,28.242429733276367,43.49571293182732,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3400143.8541482287,97455348.80232589
2002-02-22,28.385835647583008,31.524588490184428,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3417408.68379579,97472613.63197346
2002-02-25,29.533071517944336,31.524588490184428,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3555525.9432067755,97610730.89138444
2002-02-26,29.42342567443848,31.524588490184428,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3542325.533594352,97597530.48177202
2002-02-27,29.01851463317871,31.524588490184428,중립,관망,0,0.0,120391.33623627441,94055204.94817767,3493577.7522802674,97548782.70045793
