검증순서,진행률,판정,Ticker,Strategy,분할수,첫매수LOC여유율,지정가매도%,FinalAsset,Return,CAGR,MDD,WinRate,Trades,CompletedCycles,ActiveT,AvgHoldDays,ProfitFactor,StabilityScore,OverfitRisk,MDD_Worse,Score
128,83.1%,관찰,SOXL,raor4_step24p,40,13.5,12.5,3062639818,2962.64,23.63,-49.27,85.12,645,118,2.5,2.8,4.55,91.3,낮음,4.35,103.36
135,87.7%,관찰,SOXL,raor4_step24p,40,14.0,12.5,3062639818,2962.64,23.63,-49.27,85.12,645,118,2.5,2.8,4.55,91.3,낮음,4.35,103.36
142,92.2%,관찰,SOXL,raor4_step24p,40,14.5,12.5,3062639818,2962.64,23.63,-49.27,85.12,645,118,2.5,2.8,4.55,91.3,낮음,4.35,103.36
149,96.8%,관찰,SOXL,raor4_step24p,40,15.0,12.5,3062639818,2962.64,23.63,-49.27,85.12,645,118,2.5,2.8,4.55,91.3,낮음,4.35,103.36
79,51.3%,관찰,SOXL,raor4_step24p,40,10.0,12.5,3058074561,2958.07,23.61,-49.27,85.12,645,118,2.5,2.8,4.54,91.3,낮음,4.35,103.31
86,55.8%,관찰,SOXL,raor4_step24p,40,10.5,12.5,3058074561,2958.07,23.61,-49.27,85.12,645,118,2.5,2.8,4.54,91.3,낮음,4.35,103.31
93,60.4%,관찰,SOXL,raor4_step24p,40,11.0,12.5,3058074561,2958.07,23.61,-49.27,85.12,645,118,2.5,2.8,4.54,91.3,낮음,4.35,103.31
100,64.9%,관찰,SOXL,raor4_step24p,40,11.5,12.5,3058074561,2958.07,23.61,-49.27,85.12,645,118,2.5,2.8,4.54,91.3,낮음,4.35,103.31
91,59.1%,관찰,SOXL,raor4_step24p,40,10.5,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
98,63.6%,관찰,SOXL,raor4_step24p,40,11.0,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
105,68.2%,관찰,SOXL,raor4_step24p,40,11.5,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
112,72.7%,관찰,SOXL,raor4_step24p,40,12.0,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
119,77.3%,관찰,SOXL,raor4_step24p,40,12.5,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
126,81.8%,관찰,SOXL,raor4_step24p,40,13.0,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
133,86.4%,관찰,SOXL,raor4_step24p,40,13.5,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
140,90.9%,관찰,SOXL,raor4_step24p,40,14.0,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
147,95.5%,관찰,SOXL,raor4_step24p,40,14.5,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
154,100.0%,관찰,SOXL,raor4_step24p,40,15.0,25.0,5147489836,5047.49,27.67,-53.44,89.19,814,55,3.12,3.7,5.83,80.1,낮음,9.94,103.24
14,9.1%,관찰,SOXL,raor4_step24p,20,10.5,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
21,13.6%,관찰,SOXL,raor4_step24p,20,11.0,25.0,11028987614,10928.99,33.84,-55.38,83.55,1161,58,3.12,3.6,4.5,68.8,보통,15.59,102.66
